日付,陽性者数（日別）,陽性者数（累計）　,入院中等,中等・軽症,重症,死亡（累計）,"治癒確認（退院など）
（累計）"
2020/2/14,0,0,0,0,0,0,0
2020/2/15,0,0,0,0,0,0,0
2020/2/16,0,0,0,0,0,0,0
2020/2/17,0,0,0,0,0,0,0
2020/2/18,0,0,0,0,0,0,0
2020/2/19,0,0,0,0,0,0,0
2020/2/20,0,0,0,0,0,0,0
2020/2/21,0,0,0,0,0,0,0
2020/2/22,0,0,0,0,0,0,0
2020/2/23,0,0,0,0,0,0,0
2020/2/24,0,0,0,0,0,0,0
2020/2/25,0,0,0,0,0,0,0
2020/2/26,0,0,0,0,0,0,0
2020/2/27,0,0,0,0,0,0,0
2020/2/28,0,0,0,0,0,0,0
2020/2/29,0,0,0,0,0,0,0
2020/3/1,0,0,0,0,0,0,0
2020/3/2,0,0,0,0,0,0,0
2020/3/3,2,2,0,0,0,0,0
2020/3/4,0,2,0,0,0,0,0
2020/3/5,0,2,0,0,0,0,0
2020/3/6,0,2,0,0,0,0,0
2020/3/7,0,2,0,0,0,0,0
2020/3/8,0,2,0,0,0,0,0
2020/3/9,2,4,0,0,0,0,0
2020/3/10,2,6,0,0,0,0,0
2020/3/11,4,10,0,0,0,0,0
2020/3/12,4,14,0,0,0,0,0
2020/3/13,2,16,0,0,0,0,0
2020/3/14,4,20,0,0,0,0,0
2020/3/15,1,21,0,0,0,0,1
2020/3/16,2,23,0,0,0,0,1
2020/3/17,1,24,0,0,0,0,2
2020/3/18,0,24,0,0,0,0,3
2020/3/19,0,24,0,0,0,0,4
2020/3/20,0,24,0,0,0,0,6
2020/3/21,0,24,0,0,0,0,6
2020/3/22,0,24,0,0,0,0,6
2020/3/23,0,24,0,0,0,0,6
2020/3/24,0,24,16,14,2,0,7
2020/3/25,0,24,12,10,2,0,11
2020/3/26,1,25,12,10,2,0,12
2020/3/27,1,26,11,10,1,0,14
2020/3/28,5,31,15,14,1,0,15
2020/3/29,0,31,13,12,1,0,17
2020/3/30,0,31,13,12,1,0,17
2020/3/31,2,33,15,13,2,0,17
2020/4/1,1,34,13,11,2,0,19
2020/4/2,3,37,16,14,2,0,19
2020/4/3,2,39,17,15,2,0,20
2020/4/4,4,43,19,17,2,0,22
2020/4/5,8,51,27,24,3,0,22
2020/4/6,5,56,32,28,4,0,22
2020/4/7,12,68,41,37,4,0,22
2020/4/8,10,78,49,45,4,0,23
2020/4/9,13,91,59,55,4,0,25
2020/4/10,8,99,68,63,5,0,25
2020/4/11,21,120,88,84,4,0,26
2020/4/12,7,127,94,90,4,1,26
2020/4/13,8,135,101,94,7,1,27
2020/4/14,7,142,102,96,6,2,32
2020/4/15,13,155,115,109,6,2,32
2020/4/16,6,161,110,104,6,2,41
2020/4/17,12,173,120,113,7,2,42
2020/4/18,9,182,119,112,7,2,52
2020/4/19,3,185,122,115,7,2,52
2020/4/20,8,193,127,121,6,3,53
2020/4/21,14,207,129,122,7,3,65
2020/4/22,11,218,132,123,9,3,73
2020/4/23,22,240,134,125,9,3,92
2020/4/24,5,245,138,129,9,3,93
2020/4/25,6,251,140,131,9,3,96
2020/4/26,0,251,138,129,9,3,98
2020/4/27,1,252,139,130,9,3,99
2020/4/28,3,255,119,111,8,4,121
2020/4/29,1,256,111,102,9,4,130
2020/4/30,1,257,105,93,12,4,137
2020/5/1,2,259,105,93,12,4,139
2020/5/2,3,262,94,83,11,5,152
2020/5/3,3,265,90,80,10,5,159
2020/5/4,2,267,90,81,9,6,159
2020/5/5,2,269,80,71,9,7,170
2020/5/6,2,271,78,69,9,7,173
2020/5/7,1,272,73,64,9,8,178
2020/5/8,3,275,72,63,9,8,181
2020/5/9,1,276,64,55,9,8,189
2020/5/10,1,277,63,53,10,8,191
2020/5/11,0,277,59,49,10,8,195
2020/5/12,1,278,48,38,10,9,206
2020/5/13,2,280,48,39,9,11,206
2020/5/14,0,280,42,33,9,11,212
2020/5/15,1,281,39,30,9,11,216
2020/5/16,1,282,36,30,6,11,220
2020/5/17,0,282,35,29,6,11,221
2020/5/18,0,282,34,28,6,11,222
2020/5/19,0,282,27,23,4,11,229
2020/5/20,3,285,25,21,4,11,232
2020/5/21,0,285,23,19,4,11,234
2020/5/22,0,285,21,18,3,12,235
2020/5/23,0,285,17,14,3,12,239
2020/5/24,0,285,17,14,3,12,239
2020/5/25,0,285,15,13,2,12,241
2020/5/26,0,285,13,11,2,12,243
2020/5/27,0,285,12,10,2,12,244
2020/5/28,0,285,9,7,2,12,247
2020/5/29,0,285,9,7,2,12,247
2020/5/30,0,285,9,7,2,12,247
2020/5/31,0,285,9,7,2,12,247
2020/6/1,0,285,9,7,2,12,247
2020/6/2,0,285,9,7,2,12,247
2020/6/3,0,285,6,4,2,12,250
2020/6/4,0,285,1,1,0,12,255
2020/6/5,0,285,1,1,0,12,255
2020/6/6,0,285,1,1,0,12,255
2020/6/7,0,285,1,1,0,12,255
2020/6/8,0,285,1,1,0,12,255
2020/6/9,0,285,1,1,0,12,255
2020/6/10,0,285,0,0,0,12,256
2020/6/11,0,285,0,0,0,12,256
2020/6/12,0,285,0,0,0,12,256
2020/6/13,0,285,0,0,0,12,256
2020/6/14,0,285,0,0,0,12,256
2020/6/15,0,285,0,0,0,12,256
2020/6/16,0,285,0,0,0,12,256
2020/6/17,0,285,0,0,0,12,256
2020/6/18,0,285,0,0,0,12,256
2020/6/19,0,285,0,0,0,12,256
2020/6/20,0,285,0,0,0,12,256
2020/6/21,0,285,0,0,0,12,256
2020/6/22,0,285,0,0,0,12,256
2020/6/23,0,285,1,1,0,12,256
2020/6/24,0,285,1,1,0,12,256
2020/6/25,0,285,1,1,0,12,256
2020/6/26,0,285,1,1,0,12,256
2020/6/27,0,285,1,1,0,12,256
2020/6/28,0,285,1,1,0,12,256
2020/6/29,0,285,1,1,0,12,256
2020/6/30,0,285,2,2,0,12,256
2020/7/1,0,285,2,2,0,12,256
2020/7/2,0,285,2,2,0,12,256
2020/7/3,0,285,2,2,0,12,256
2020/7/4,1,286,2,2,0,12,256
2020/7/5,1,287,2,2,0,12,257
2020/7/6,2,289,5,5,0,12,257
2020/7/7,2,291,6,6,0,12,257
2020/7/8,1,292,6,6,0,12,257
2020/7/9,0,292,6,6,0,12,257
2020/7/10,0,292,5,5,0,12,258
2020/7/11,0,292,5,5,0,12,259
2020/7/12,0,292,5,5,0,12,259
2020/7/13,0,292,5,5,0,12,259
2020/7/14,1,293,3,3,0,12,262
2020/7/15,6,299,7,7,0,12,266
2020/7/16,6,305,9,9,0,12,262
2020/7/17,6,311,14,14,0,12,264
2020/7/18,10,321,19,19,0,12,264
2020/7/19,3,324,28,28,0,12,265
2020/7/20,2,326,25,25,0,12,269
2020/7/21,14,340,33,33,0,12,269
2020/7/22,13,353,41,41,0,12,269
2020/7/23,4,357,56,56,0,12,269
2020/7/24,7,364,56,56,0,12,269
2020/7/25,10,374,51,51,0,12,285
2020/7/26,13,387,67,66,1,12,285
2020/7/27,9,396,66,65,1,12,290
2020/7/28,9,405,74,72,2,12,292
2020/7/29,16,421,85,83,2,12,295
2020/7/30,13,434,84,82,2,12,307
2020/7/31,16,450,94,92,2,12,313
2020/8/1,14,464,100,98,2,12,319
2020/8/2,9,473,108,106,2,12,319
2020/8/3,8,481,101,99,2,12,334
2020/8/4,12,493,108,106,2,12,334
2020/8/5,16,509,112,110,2,12,345
2020/8/6,23,532,123,122,1,12,354
2020/8/7,14,546,125,124,1,13,369
2020/8/8,30,576,136,135,1,13,381
